Номер кадра	Номер зоны	Ожидаемый класс	Фактический класс	Код причины	A_def, пикс.	A_max, пикс.	Delta_r, пикс.	K_circ	t_proc, мс	t_OPC, мс	Итог
# Протокол создан: 2026-05-17 01:00:11
# Папка изображений: C:/Users/L13 Yoga/Pictures/fotoLed1080
# Диапазон кадров: 618...764
# Примечание: поле 'Ожидаемый класс' заполняется как 'Не задан', пока нет файла ручной разметки.
#
0633	4	Не задан	Норма	нет	0	0	10.2	0.6076	151.44	0.0	годен
0634	1	Не задан	Норма	нет	0	0	15.65	0.2333	151.91	0.0	годен
0634	2	Не задан	Норма	нет	0	0	47.85	0.1765	151.91	0.0	годен
0634	3	Не задан	Норма	нет	0	0	41.05	0.2601	151.91	0.0	годен
0634	4	Не задан	Норма	нет	0	0	7.62	0.502	151.91	0.0	годен
0635	1	Не задан	Норма	нет	0	0	15.3	0.1526	172.93	0.0	годен
0635	2	Не задан	Норма	нет	0	0	32.39	0.0981	172.93	0.0	годен
0635	3	Не задан	Норма	нет	0	0	34.66	0.2782	172.93	0.0	годен
0635	4	Не задан	Норма	нет	0	0	14.87	0.4715	172.93	0.0	годен
0636	1	Не задан	Норма	нет	0	0	16.49	0.153	154.39	0.0	годен
0636	2	Не задан	Норма	нет	0	0	36.67	0.1381	154.39	0.0	годен
0636	3	Не задан	Норма	нет	0	0	35.23	0.2816	154.39	0.0	годен
0636	4	Не задан	Норма	нет	0	0	22.14	0.4589	154.39	0.0	годен
0637	1	Не задан	Норма	нет	0	0	13.6	0.1402	150.2	0.0	годен
0637	2	Не задан	Норма	нет	0	0	24.52	0.1987	150.2	0.0	годен
0637	3	Не задан	Норма	нет	0	0	35.51	0.4628	150.2	0.0	годен
0637	4	Не задан	Норма	нет	0	0	21.54	0.5086	150.2	0.0	годен
0638	1	Не задан	Норма	нет	0	0	22.67	0.2035	152.26	0.0	годен
0638	2	Не задан	Норма	нет	0	0	16.76	0.1707	152.26	0.0	годен
0638	3	Не задан	Норма	нет	0	0	35.85	0.4531	152.26	0.0	годен
0638	4	Не задан	Норма	нет	0	0	19.42	0.4111	152.26	0.0	годен
0639	1	Не задан	Норма	нет	0	0	18.03	0.1784	153.83	0.0	годен
0639	2	Не задан	Норма	нет	0	0	31.05	0.1806	153.83	0.0	годен
0639	3	Не задан	Норма	нет	0	0	33.62	0.5051	153.83	0.0	годен
0639	4	Не задан	Норма	нет	0	0	15.0	0.5707	153.83	0.0	годен
0640	1	Не задан	Норма	нет	0	0	12.04	0.1457	149.93	0.0	годен
0640	2	Не задан	Норма	нет	0	0	38.6	0.213	149.93	0.0	годен
0640	3	Не задан	Норма	нет	0	0	41.59	0.3427	149.93	0.0	годен
0640	4	Не задан	Норма	нет	0	0	13.45	0.5246	149.93	0.0	годен
0641	1	Не задан	Норма	нет	0	0	15.26	0.1312	154.34	0.0	годен
0641	2	Не задан	Норма	нет	0	0	16.16	0.0886	154.34	0.0	годен
0641	3	Не задан	Норма	нет	0	0	61.85	0.265	154.34	0.0	годен
0641	4	Не задан	Норма	нет	0	0	12.04	0.2765	154.34	0.0	годен
0642	1	Не задан	Норма	нет	0	0	12.0	0.0668	155.53	0.0	годен
0642	2	Не задан	Норма	нет	0	0	14.87	0.1081	155.53	0.0	годен
0642	3	Не задан	Норма	нет	0	0	41.34	0.3561	155.53	0.0	годен
0642	4	Не задан	Норма	нет	0	0	13.34	0.5135	155.53	0.0	годен
0643	1	Не задан	Норма	нет	0	0	8.94	0.0611	155.58	0.0	годен
0643	2	Не задан	Норма	нет	0	0	13.89	0.0765	155.58	0.0	годен
0643	3	Не задан	Норма	нет	0	0	51.43	0.1288	155.58	0.0	годен
0643	4	Не задан	Норма	нет	0	0	20.12	0.4649	155.58	0.0	годен
0644	1	Не задан	Норма	нет	0	0	12.04	0.2077	155.08	0.0	годен
0644	2	Не задан	Норма	нет	0	0	14.87	0.094	155.08	0.0	годен
0644	3	Не задан	Норма	нет	0	0	44.78	0.3525	155.08	0.0	годен
0644	4	Не задан	Норма	нет	0	0	25.06	0.3575	155.08	0.0	годен
0645	1	Не задан	Норма	нет	0	0	6.0	0.1165	153.92	0.0	годен
0645	2	Не задан	Норма	нет	0	0	18.6	0.2015	153.92	0.0	годен
0645	3	Не задан	Норма	нет	0	0	35.0	0.4313	153.92	0.0	годен
0645	4	Не задан	Норма	нет	0	0	12.81	0.5191	153.92	0.0	годен
0646	1	Не задан	Норма	нет	0	0	10.05	0.0676	154.76	0.0	годен
0646	2	Не задан	Норма	нет	0	0	11.4	0.1997	154.76	0.0	годен
0646	3	Не задан	Норма	нет	0	0	37.44	0.2967	154.76	0.0	годен
0646	4	Не задан	Норма	нет	0	0	16.97	0.5415	154.76	0.0	годен
0646	1	Не задан	Норма	нет	0	0	13.0	0.0676	155.58	0.0	годен
0646	2	Не задан	Норма	нет	0	0	13.45	0.1997	155.58	0.0	годен
0646	3	Не задан	Норма	нет	0	0	26.91	0.2967	155.58	0.0	годен
0646	4	Не задан	Норма	нет	0	0	10.05	0.5415	155.58	0.0	годен
0647	1	Не задан	Норма	нет	0	0	10.2	0.1314	161.06	0.0	годен
0647	2	Не задан	Норма	нет	0	0	12.81	0.126	161.06	0.0	годен
0647	3	Не задан	Норма	нет	0	0	30.48	0.3736	161.06	0.0	годен
0647	4	Не задан	Норма	нет	0	0	14.42	0.4158	161.06	0.0	годен
0647	1	Не задан	Норма	нет	0	0	11.18	0.1314	156.89	0.0	годен
0647	2	Не задан	Норма	нет	0	0	16.4	0.126	156.89	0.0	годен
0647	3	Не задан	Норма	нет	0	0	16.55	0.3736	156.89	0.0	годен
0647	4	Не задан	Норма	нет	0	0	29.61	0.4158	156.89	0.0	годен
0648	1	Не задан	Норма	нет	0	0	7.28	0.0885	154.55	0.0	годен
0648	2	Не задан	Норма	нет	0	0	22.85	0.1673	154.55	0.0	годен
0648	3	Не задан	Норма	нет	0	0	13.6	0.4977	154.55	0.0	годен
0648	4	Не задан	Норма	нет	0	0	23.77	0.4786	154.55	0.0	годен
0649	1	Не задан	Норма	нет	0	0	15.52	0.1626	150.29	0.0	годен
0649	2	Не задан	Норма	нет	0	0	34.79	0.118	150.29	0.0	годен
0649	3	Не задан	Норма	нет	0	0	11.18	0.4477	150.29	0.0	годен
0649	4	Не задан	Норма	нет	0	0	15.3	0.6153	150.29	0.0	годен
0650	1	Не задан	Норма	нет	0	0	15.62	0.1657	149.74	0.0	годен
0650	2	Не задан	Норма	нет	0	0	34.93	0.1526	149.74	0.0	годен
0650	3	Не задан	Норма	нет	0	0	13.04	0.4026	149.74	0.0	годен
0650	4	Не задан	Норма	нет	0	0	19.42	0.5014	149.74	0.0	годен
0651	1	Не задан	Норма	нет	0	0	21.21	0.1881	157.47	0.0	годен
0651	2	Не задан	Норма	нет	0	0	21.54	0.1361	157.47	0.0	годен
0651	3	Не задан	Норма	нет	0	0	11.4	0.3844	157.47	0.0	годен
0651	4	Не задан	Норма	нет	0	0	22.56	0.4965	157.47	0.0	годен
0651	1	Не задан	Норма	нет	0	0	17.8	0.1881	153.08	0.0	годен
0651	2	Не задан	Норма	нет	0	0	17.0	0.1361	153.08	0.0	годен
0651	3	Не задан	Норма	нет	0	0	24.84	0.3844	153.08	0.0	годен
0651	4	Не задан	Норма	нет	0	0	8.6	0.4965	153.08	0.0	годен
0652	1	Не задан	Норма	нет	0	0	16.16	0.1788	149.79	0.0	годен
0652	2	Не задан	Норма	нет	0	0	10.63	0.2323	149.79	0.0	годен
0652	3	Не задан	Норма	нет	0	0	26.25	0.3797	149.79	0.0	годен
0652	4	Не задан	Норма	нет	0	0	10.3	0.4723	149.79	0.0	годен
0653	1	Не задан	Норма	нет	0	0	3.16	0.0815	153.23	0.0	годен
0653	2	Не задан	Норма	нет	0	0	11.4	0.1845	153.23	0.0	годен
0653	3	Не задан	Норма	нет	0	0	25.0	0.2668	153.23	0.0	годен
0653	4	Не задан	Норма	нет	0	0	7.07	0.5436	153.23	0.0	годен
0654	1	Не задан	Норма	нет	0	0	14.56	0.2482	152.62	0.0	годен
0654	2	Не задан	Норма	нет	0	0	15.81	0.1191	152.62	0.0	годен
0654	3	Не задан	Норма	нет	0	0	28.6	0.3102	152.62	0.0	годен
0654	4	Не задан	Норма	нет	0	0	10.82	0.4462	152.62	0.0	годен
0655	1	Не задан	Норма	нет	0	0	14.42	0.1699	151.75	0.0	годен
0655	2	Не задан	Норма	нет	0	0	29.12	0.2015	151.75	0.0	годен
0655	3	Не задан	Норма	нет	0	0	31.62	0.3853	151.75	0.0	годен
0655	4	Не задан	Норма	нет	0	0	9.85	0.5441	151.75	0.0	годен
0656	1	Не задан	Норма	нет	0	0	20.0	0.1421	152.08	0.0	годен
0656	2	Не задан	Норма	нет	0	0	52.39	0.2405	152.08	0.0	годен
0656	3	Не задан	Норма	нет	0	0	32.65	0.356	152.08	0.0	годен
0656	4	Не задан	Норма	нет	0	0	12.08	0.4126	152.08	0.0	годен
0657	1	Не задан	Норма	нет	0	0	14.0	0.1984	150.51	0.0	годен
0657	2	Не задан	Норма	нет	0	0	23.43	0.1022	150.51	0.0	годен
0657	3	Не задан	Норма	нет	0	0	26.91	0.3947	150.51	0.0	годен
0657	4	Не задан	Норма	нет	0	0	14.21	0.4563	150.51	0.0	годен
0658	1	Не задан	Норма	нет	0	0	14.21	0.1743	152.81	0.0	годен
